model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
B (DDR-naive),0.0,1.0,0.0,0.2616,0.2088,-0.0176,0.134,0.2792,5
B (DDR-naive),0.5,1.0,0.0,0.2225,0.2067,-0.051,0.1334,0.2735,5
B (DDR-naive),1.0,1.0,0.0,0.1833,0.2045,-0.0845,0.1328,0.2678,5
B (DDR-naive),2.0,1.0,0.0,0.105,0.2003,-0.1514,0.1317,0.2564,5
B (DDR-naive),5.0,1.0,0.0,-0.1302,0.188,-0.3523,0.1284,0.2221,5
B (DDR-naive),10.0,1.0,0.0,-0.5219,0.1687,-0.6871,0.124,0.1652,5
B (DDR-naive),1.0,5.0,0.0,0.1783,0.2046,-0.0887,0.1328,0.267,5
B (DDR-naive),5.0,5.0,0.0,-0.1552,0.1883,-0.3733,0.1285,0.2181,5
B (DDR-naive),0.5,1.0,0.5,0.233,0.2073,-0.042,0.1335,0.275,5
B (DDR-naive),0.5,1.0,1.0,0.243,0.2079,-0.0335,0.1336,0.2765,5
B (DDR-naive),0.5,1.0,2.0,0.2468,0.2083,-0.0302,0.1336,0.2771,5
B (DDR-naive),1.0,1.0,0.5,0.2044,0.2059,-0.0664,0.133,0.2708,5
B (DDR-naive),1.0,1.0,1.0,0.2243,0.2071,-0.0495,0.1331,0.2738,5
B (DDR-naive),1.0,1.0,2.0,0.232,0.2078,-0.0429,0.1332,0.2749,5
B (DDR-naive),2.0,1.0,0.5,0.1472,0.203,-0.1152,0.132,0.2624,5
B (DDR-naive),2.0,1.0,1.0,0.1869,0.2053,-0.0814,0.1322,0.2683,5
B (DDR-naive),2.0,1.0,2.0,0.2023,0.2067,-0.0682,0.1324,0.2705,5
B (DDR-naive),5.0,1.0,0.5,-0.0246,0.1944,-0.2618,0.129,0.2372,5
B (DDR-naive),5.0,1.0,1.0,0.0746,0.2002,-0.1772,0.1294,0.2518,5
B (DDR-naive),5.0,1.0,2.0,0.1131,0.2037,-0.1442,0.1298,0.2573,5
B-vt (DDR-voltarget),0.0,1.0,0.0,0.4129,0.2064,0.0402,0.2554,0.3727,5
B-vt (DDR-voltarget),0.5,1.0,0.0,0.375,0.205,0.0093,0.2587,0.3657,5
B-vt (DDR-voltarget),1.0,1.0,0.0,0.3371,0.2037,-0.0217,0.2621,0.3588,5
B-vt (DDR-voltarget),2.0,1.0,0.0,0.2613,0.2019,-0.0836,0.2688,0.345,5
B-vt (DDR-voltarget),5.0,1.0,0.0,0.034,0.2012,-0.2694,0.2895,0.3034,5
B-vt (DDR-voltarget),10.0,1.0,0.0,-0.3448,0.2161,-0.5789,0.3249,0.234,4
B-vt (DDR-voltarget),1.0,5.0,0.0,0.3307,0.2038,-0.027,0.2623,0.3577,5
B-vt (DDR-voltarget),5.0,5.0,0.0,0.002,0.2014,-0.2958,0.2903,0.2978,5
B-vt (DDR-voltarget),0.5,1.0,0.5,0.3843,0.2055,0.0171,0.2575,0.3672,5
B-vt (DDR-voltarget),0.5,1.0,1.0,0.393,0.206,0.0245,0.2564,0.3685,5
B-vt (DDR-voltarget),0.5,1.0,2.0,0.3959,0.2059,0.027,0.2557,0.3689,5
B-vt (DDR-voltarget),1.0,1.0,0.5,0.3557,0.2046,-0.006,0.2597,0.3617,5
B-vt (DDR-voltarget),1.0,1.0,1.0,0.3731,0.2055,0.0087,0.2575,0.3644,5
B-vt (DDR-voltarget),1.0,1.0,2.0,0.3789,0.2053,0.0138,0.2561,0.3651,5
B-vt (DDR-voltarget),2.0,1.0,0.5,0.2985,0.2032,-0.0522,0.2641,0.3507,5
B-vt (DDR-voltarget),2.0,1.0,1.0,0.3333,0.2047,-0.0228,0.2596,0.3561,5
B-vt (DDR-voltarget),2.0,1.0,2.0,0.3449,0.2043,-0.0126,0.2568,0.3575,5
B-vt (DDR-voltarget),5.0,1.0,0.5,0.1267,0.2012,-0.1909,0.2773,0.3176,5
B-vt (DDR-voltarget),5.0,1.0,1.0,0.2136,0.203,-0.1175,0.2659,0.3311,5
B-vt (DDR-voltarget),5.0,1.0,2.0,0.2425,0.2017,-0.0918,0.2591,0.3344,5
C (TACR),0.0,1.0,0.0,-0.584,0.1127,-0.585,0.1145,0.0009,1
C (TACR),0.5,1.0,0.0,-0.5882,0.1169,-0.589,0.1186,0.0009,1
C (TACR),1.0,1.0,0.0,-0.5923,0.1211,-0.5931,0.1228,0.0008,1
C (TACR),2.0,1.0,0.0,-0.6005,0.1297,-0.6013,0.1311,0.0007,1
C (TACR),5.0,1.0,0.0,-0.6253,0.1558,-0.6257,0.1566,0.0004,1
C (TACR),10.0,1.0,0.0,-0.6665,0.2,-0.6664,0.1998,-0.0001,0
C (TACR),1.0,5.0,0.0,-0.5927,0.1214,-0.5936,0.1231,0.0008,1
C (TACR),5.0,5.0,0.0,-0.6275,0.1573,-0.6279,0.1581,0.0004,1
C (TACR),0.5,1.0,0.5,-0.5871,0.1158,-0.588,0.1175,0.0009,1
C (TACR),0.5,1.0,1.0,-0.5861,0.1147,-0.587,0.1165,0.0009,1
C (TACR),0.5,1.0,2.0,-0.5857,0.1142,-0.5866,0.1161,0.0009,1
C (TACR),1.0,1.0,0.5,-0.5901,0.1189,-0.591,0.1206,0.0009,1
C (TACR),1.0,1.0,1.0,-0.5881,0.1167,-0.589,0.1185,0.0009,1
C (TACR),1.0,1.0,2.0,-0.5873,0.1158,-0.5882,0.1176,0.0009,1
C (TACR),2.0,1.0,0.5,-0.5963,0.1251,-0.5971,0.1267,0.0008,1
C (TACR),2.0,1.0,1.0,-0.5922,0.1208,-0.5931,0.1226,0.0009,1
C (TACR),2.0,1.0,2.0,-0.5905,0.1189,-0.5914,0.1207,0.0009,1
C (TACR),5.0,1.0,0.5,-0.6146,0.1441,-0.6152,0.1453,0.0006,1
C (TACR),5.0,1.0,1.0,-0.6045,0.1332,-0.6053,0.1348,0.0008,1
C (TACR),5.0,1.0,2.0,-0.6002,0.1283,-0.6012,0.1301,0.0009,1
D (fuzzy+IQL),0.0,1.0,0.0,-0.239,0.0631,0.0671,0.0803,-0.3061,0
D (fuzzy+IQL),0.5,1.0,0.0,-0.2563,0.0627,0.0512,0.0801,-0.3076,0
D (fuzzy+IQL),1.0,1.0,0.0,-0.2737,0.0623,0.0354,0.0798,-0.3091,0
D (fuzzy+IQL),2.0,1.0,0.0,-0.3083,0.0616,0.0038,0.0793,-0.3121,0
D (fuzzy+IQL),5.0,1.0,0.0,-0.4121,0.0594,-0.0909,0.0777,-0.3212,0
D (fuzzy+IQL),10.0,1.0,0.0,-0.585,0.0561,-0.2488,0.0751,-0.3362,0
D (fuzzy+IQL),1.0,5.0,0.0,-0.2763,0.0622,0.0329,0.0798,-0.3093,0
D (fuzzy+IQL),5.0,5.0,0.0,-0.4255,0.059,-0.1035,0.0775,-0.322,0
D (fuzzy+IQL),0.5,1.0,0.5,-0.2522,0.0628,0.0551,0.0801,-0.3073,0
D (fuzzy+IQL),0.5,1.0,1.0,-0.2482,0.0628,0.0588,0.0801,-0.307,0
D (fuzzy+IQL),0.5,1.0,2.0,-0.2468,0.0628,0.0601,0.0802,-0.3069,0
D (fuzzy+IQL),1.0,1.0,0.5,-0.2653,0.0624,0.0432,0.0799,-0.3085,0
D (fuzzy+IQL),1.0,1.0,1.0,-0.2574,0.0626,0.0506,0.08,-0.308,0
D (fuzzy+IQL),1.0,1.0,2.0,-0.2547,0.0625,0.0531,0.08,-0.3077,0
D (fuzzy+IQL),2.0,1.0,0.5,-0.2916,0.0618,0.0194,0.0794,-0.311,0
D (fuzzy+IQL),2.0,1.0,1.0,-0.2758,0.0621,0.0341,0.0796,-0.3099,0
D (fuzzy+IQL),2.0,1.0,2.0,-0.2703,0.062,0.0391,0.0797,-0.3094,0
D (fuzzy+IQL),5.0,1.0,0.5,-0.3703,0.06,-0.052,0.078,-0.3183,0
D (fuzzy+IQL),5.0,1.0,1.0,-0.3309,0.0606,-0.0154,0.0785,-0.3155,0
