model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
B (DDR-naive),0.0,1.0,0.0,0.2214,0.2651,0.0082,0.1718,0.2132,5
B (DDR-naive),0.5,1.0,0.0,0.183,0.2617,-0.0247,0.1709,0.2078,5
B (DDR-naive),1.0,1.0,0.0,0.1447,0.2584,-0.0576,0.1701,0.2023,5
B (DDR-naive),2.0,1.0,0.0,0.068,0.2516,-0.1235,0.1685,0.1915,5
B (DDR-naive),5.0,1.0,0.0,-0.1621,0.2317,-0.321,0.1637,0.159,4
B (DDR-naive),10.0,1.0,0.0,-0.5455,0.1997,-0.6504,0.1563,0.1049,3
B (DDR-naive),1.0,5.0,0.0,0.1392,0.258,-0.0624,0.1694,0.2016,5
B (DDR-naive),5.0,5.0,0.0,-0.1896,0.2297,-0.3447,0.1603,0.1551,4
B (DDR-naive),0.5,1.0,0.5,0.193,0.2627,-0.016,0.171,0.2091,5
B (DDR-naive),0.5,1.0,1.0,0.2025,0.2637,-0.0079,0.1711,0.2103,5
B (DDR-naive),0.5,1.0,2.0,0.2059,0.2642,-0.0049,0.171,0.2108,5
B (DDR-naive),1.0,1.0,0.5,0.1647,0.2604,-0.0402,0.1703,0.2049,5
B (DDR-naive),1.0,1.0,1.0,0.1835,0.2623,-0.0239,0.1705,0.2075,5
B (DDR-naive),1.0,1.0,2.0,0.1905,0.2632,-0.018,0.1703,0.2084,5
B (DDR-naive),2.0,1.0,0.5,0.108,0.2557,-0.0886,0.1689,0.1967,5
B (DDR-naive),2.0,1.0,1.0,0.1457,0.2594,-0.056,0.1692,0.2017,5
B (DDR-naive),2.0,1.0,2.0,0.1596,0.2613,-0.0441,0.1689,0.2037,5
B (DDR-naive),5.0,1.0,0.5,-0.0621,0.2416,-0.234,0.1646,0.1719,5
B (DDR-naive),5.0,1.0,1.0,0.032,0.2509,-0.1525,0.1654,0.1844,5
B (DDR-naive),5.0,1.0,2.0,0.0666,0.2556,-0.1226,0.1645,0.1892,5
B-vt (DDR-voltarget),0.0,1.0,0.0,0.4155,0.203,0.157,0.1802,0.2585,4
B-vt (DDR-voltarget),0.5,1.0,0.0,0.3843,0.2013,0.1306,0.1801,0.2537,4
B-vt (DDR-voltarget),1.0,1.0,0.0,0.3531,0.1996,0.1042,0.18,0.2488,4
