representation,probe,val,test,baseline_test,n_train,n_test
objlab predictive (128d),direction_1,0.5504950495049505,0.545816733067729,0.5378486055776892,3463,1004
objlab predictive (128d),direction_5,0.6277227722772277,0.581,0.586,3463,1000
objlab predictive (128d),direction_20,0.6594059405940594,0.6588832487309645,0.6609137055837564,3463,985
objlab predictive (128d),magnitude_1,-0.007182360037861768,-0.04041190526487681,0.0,3463,1004
objlab predictive (128d),vol_5,-0.1605077161609536,0.12361113695923609,0.0,3463,1000
objlab predictive (128d),vol_20,-0.6812206071925386,-0.0636797633321402,0.0,3463,985
objlab predictive (128d),regime,0.801980198019802,0.8716417910447761,0.7731343283582089,3463,1005
objlab predictive (128d),reconstruct,,0.9962105148867381,0.0,3463,1005
objlab dsr (128d),direction_1,0.5386138613861386,0.5368525896414342,0.5378486055776892,3463,1004
objlab dsr (128d),direction_5,0.6059405940594059,0.559,0.586,3463,1000
objlab dsr (128d),direction_20,0.6613861386138614,0.616243654822335,0.6609137055837564,3463,985
objlab dsr (128d),magnitude_1,0.29493457022418945,-0.004385994019362016,0.0,3463,1004
objlab dsr (128d),vol_5,0.5269998054543595,0.09069109109132067,0.0,3463,1000
objlab dsr (128d),vol_20,0.1534469527434963,0.07406995616106049,0.0,3463,985
objlab dsr (128d),regime,0.7900990099009901,0.8597014925373134,0.7731343283582089,3463,1005
objlab dsr (128d),reconstruct,,0.9762617056029963,0.0,3463,1005
objlab actorcritic (128d),direction_1,0.5861386138613861,0.5278884462151394,0.5378486055776892,3463,1004
objlab actorcritic (128d),direction_5,0.6039603960396039,0.598,0.586,3463,1000
objlab actorcritic (128d),direction_20,0.7089108910891089,0.6609137055837564,0.6609137055837564,3463,985
objlab actorcritic (128d),magnitude_1,-477.93019132073084,0.07183376568065525,0.0,3463,1004
objlab actorcritic (128d),vol_5,-637.5872236513844,0.2914792861614177,0.0,3463,1000
objlab actorcritic (128d),vol_20,-179.1999571732777,0.20970947173356713,0.0,3463,985
objlab actorcritic (128d),regime,0.8277227722772277,0.8746268656716418,0.7731343283582089,3463,1005
objlab actorcritic (128d),reconstruct,,0.9971259709767113,0.0,3463,1005
objlab masked (128d),direction_1,0.5366336633663367,0.5139442231075697,0.5378486055776892,3463,1004
objlab masked (128d),direction_5,0.5881188118811881,0.574,0.586,3463,1000
objlab masked (128d),direction_20,0.5702970297029702,0.665989847715736,0.6609137055837564,3463,985
objlab masked (128d),magnitude_1,0.21041842603154992,-0.07672554719716329,0.0,3463,1004
objlab masked (128d),vol_5,0.4701907066993902,0.17145753257179708,0.0,3463,1000
objlab masked (128d),vol_20,0.08534462418967237,0.1878980979151066,0.0,3463,985
objlab masked (128d),regime,0.8396039603960396,0.8616915422885573,0.7731343283582089,3463,1005
objlab masked (128d),reconstruct,,0.985341336440197,0.0,3463,1005
