representation,probe,val,test,baseline_test,n_train,n_test
Raw 8 features (zd),direction_1,0.5683168316831683,0.5378486055776892,0.5378486055776892,3523,1004
Raw 8 features (zd),direction_5,0.6336633663366337,0.592,0.586,3523,1000
Raw 8 features (zd),direction_20,0.7069306930693069,0.6619289340101523,0.6609137055837564,3523,985
Raw 8 features (zd),magnitude_1,0.3347904899108506,0.10545774813138586,0.0,3523,1004
Raw 8 features (zd),vol_5,0.5389402055971686,0.3426933691742353,0.0,3523,1000
Raw 8 features (zd),vol_20,0.3541713327711311,0.38221216901258126,0.0,3523,985
Raw 8 features (zd),regime,0.7841584158415842,0.8517412935323383,0.7731343283582089,3463,1005
Raw 8 features (zd),reconstruct,,1.0,0.0,3523,1005
Raw 20x8 window (160d),direction_1,0.5445544554455446,0.5288844621513944,0.5378486055776892,3523,1004
Raw 20x8 window (160d),direction_5,0.5762376237623762,0.553,0.586,3523,1000
Raw 20x8 window (160d),direction_20,0.697029702970297,0.6538071065989848,0.6609137055837564,3523,985
Raw 20x8 window (160d),magnitude_1,0.3045178875326283,0.009602971419091832,0.0,3523,1004
Raw 20x8 window (160d),vol_5,0.535147187278863,0.211652913968429,0.0,3523,1000
Raw 20x8 window (160d),vol_20,0.33680424902730444,0.37728021948343926,0.0,3523,985
Raw 20x8 window (160d),regime,0.805940594059406,0.882587064676617,0.7731343283582089,3463,1005
Raw 20x8 window (160d),reconstruct,,1.0,0.0,3523,1005
DDR-GRU (32d),direction_1,0.5564356435643565,0.5308764940239044,0.5378486055776892,3463,1004
DDR-GRU (32d),direction_5,0.6099009900990099,0.591,0.586,3463,1000
DDR-GRU (32d),direction_20,0.7108910891089109,0.650761421319797,0.6609137055837564,3463,985
DDR-GRU (32d),magnitude_1,0.21385909413229542,0.07433540197652744,0.0,3463,1004
DDR-GRU (32d),vol_5,0.2984283265435499,0.20672752402686667,0.0,3463,1000
DDR-GRU (32d),vol_20,-0.06396130465779404,0.08530963772330225,0.0,3463,985
DDR-GRU (32d),regime,0.7801980198019802,0.8567164179104477,0.7731343283582089,3463,1005
DDR-GRU (32d),reconstruct,,0.8930458577904141,0.0,3463,1005
TACR transformer (128d),direction_1,0.5623762376237624,0.500996015936255,0.5378486055776892,3273,1004
TACR transformer (128d),direction_5,0.5643564356435643,0.579,0.586,3273,1000
TACR transformer (128d),direction_20,0.6495049504950495,0.6426395939086295,0.6609137055837564,3273,985
TACR transformer (128d),magnitude_1,0.3117679056868231,0.012560110734470609,0.0,3273,1004
TACR transformer (128d),vol_5,0.5304506391768951,0.20859946645132654,0.0,3273,1000
TACR transformer (128d),vol_20,0.2774488422013398,0.24205182125126112,0.0,3273,985
TACR transformer (128d),regime,0.8237623762376237,0.8855721393034826,0.7731343283582089,3273,1005
TACR transformer (128d),reconstruct,,0.9817659762131172,0.0,3273,1005
D encoder (128d),direction_1,0.5465346534653466,0.5119521912350598,0.5378486055776892,3273,1004
D encoder (128d),direction_5,0.5524752475247525,0.567,0.586,3273,1000
D encoder (128d),direction_20,0.5801980198019802,0.6182741116751269,0.6609137055837564,3273,985
D encoder (128d),magnitude_1,0.2756141164420046,-0.05226700799134654,0.0,3273,1004
D encoder (128d),vol_5,0.45548313387693884,0.13422958459300482,0.0,3273,1000
D encoder (128d),vol_20,0.22915015047542586,0.14927011211657415,0.0,3273,985
D encoder (128d),regime,0.8277227722772277,0.909452736318408,0.7731343283582089,3273,1005
D encoder (128d),reconstruct,,0.9454177517790253,0.0,3273,1005
C+ logistic score (1d),direction_1,0.5683168316831683,0.5378486055776892,0.5378486055776892,3523,1004
C+ logistic score (1d),direction_5,0.6455445544554456,0.586,0.586,3523,1000
C+ logistic score (1d),direction_20,0.7504950495049505,0.6609137055837564,0.6609137055837564,3523,985
C+ logistic score (1d),magnitude_1,-0.038441631198901316,-0.006700060115886419,0.0,3523,1004
C+ logistic score (1d),vol_5,-0.07885807082119234,-0.04807400920251692,0.0,3523,1000
C+ logistic score (1d),vol_20,-0.1688952469764886,-0.07318656088876141,0.0,3523,985
C+ logistic score (1d),regime,0.8138613861386138,0.7681592039800995,0.7731343283582089,3463,1005
C+ logistic score (1d),reconstruct,,0.16243453460336083,0.0,3523,1005
