family,condition,metric,n,mean,sd,ci_lo,ci_hi
rep_x_algo,raw|A2C,test_sharpe,10,0.3621979776671734,0.2096130202894874,0.23947194554047826,0.48428006765353065
rep_x_algo,raw|BC,test_sharpe,10,0.6816122060338012,0.16760673419202884,0.5770308309211507,0.7713033597422898
rep_x_algo,raw|IQL,test_sharpe,10,0.5589715882043811,0.1627702862088776,0.46113801958435247,0.652547892453102
rep_x_algo,raw|CQL,test_sharpe,10,0.5737677440359434,0.11970915372625984,0.4930994225845195,0.62755159419437
rep_x_algo,auto|A2C,test_sharpe,10,0.46385564132153945,0.3653895595265224,0.2307044410929557,0.6538617389055752
rep_x_algo,auto|BC,test_sharpe,10,0.6415980806848146,0.11999382726670536,0.5752379946003997,0.7156583144462785
rep_x_algo,auto|IQL,test_sharpe,10,0.6238068482947576,0.08971287937739861,0.5727891142928546,0.6773561873239562
rep_x_algo,auto|CQL,test_sharpe,10,0.7682492490073051,0.08749182025031482,0.7144195906779068,0.8168696568788455
rep_x_algo,predictive|A2C,test_sharpe,10,0.617271883409802,0.08945615804902912,0.5660427098041965,0.6709912077298367
rep_x_algo,predictive|BC,test_sharpe,10,0.6307192110405545,0.02578753263898979,0.6161404599680693,0.6458694408712062
rep_x_algo,predictive|IQL,test_sharpe,10,0.6276622251242272,0.037945138626330165,0.6071389336810624,0.6508020588386172
rep_x_algo,predictive|CQL,test_sharpe,10,0.6755409775012305,0.127622957939899,0.5990723371870313,0.747735034694216
rep_x_algo,contrastive|A2C,test_sharpe,10,0.5265084733889045,0.38892337218322137,0.2944199306473222,0.7519963627601782
rep_x_algo,contrastive|BC,test_sharpe,10,0.6411175174900331,0.09790878324061726,0.5836997835221582,0.69891234200108
rep_x_algo,contrastive|IQL,test_sharpe,10,0.6208223824418792,0.10066532547049713,0.5603538982058207,0.6776943309904876
rep_x_algo,contrastive|CQL,test_sharpe,10,0.708644070929681,0.08703859884135687,0.6560394324839066,0.7578031260919155
feature_scaling,auto|4,supervised_sharpe,10,0.7508329376882065,0.215751602624469,0.6235382334859866,0.8793069012405403
feature_scaling,auto|8,supervised_sharpe,10,0.6739869760300128,0.45809047115332574,0.41470217873808174,0.9547094949594056
feature_scaling,auto|12,supervised_sharpe,10,0.6581798798054437,0.43462935309997186,0.3835925530695409,0.8952244202127166
feature_scaling,auto|16,supervised_sharpe,10,0.679515319197021,0.28852661829303894,0.5178466891471875,0.8573795392545349
feature_scaling,auto|24,supervised_sharpe,10,0.6820475873933403,0.2588682747585113,0.5336264786966358,0.8374551230197229
feature_scaling,auto|32,supervised_sharpe,10,0.7300986673590814,0.3033324546894645,0.5640747638533419,0.915713522440428
feature_scaling,predictive|4,supervised_sharpe,10,0.8263789963760392,0.22618685690571178,0.6959337699613471,0.9580155359489793
feature_scaling,predictive|8,supervised_sharpe,10,0.7514648787087176,0.24074170421405103,0.6081891803586887,0.88649645799232
feature_scaling,predictive|12,supervised_sharpe,10,0.7702981186295702,0.2417583617405473,0.611809196009763,0.8875210888592017
feature_scaling,predictive|16,supervised_sharpe,10,0.8564312331944602,0.26481803021823963,0.7057610703339736,1.0151499720952633
feature_scaling,predictive|24,supervised_sharpe,10,0.6565536102701601,0.22867010961759782,0.532838691971737,0.8006803666695975
feature_scaling,predictive|32,supervised_sharpe,10,0.4814102754830126,0.44333916476999913,0.2407314411084114,0.7595397432295908
feature_scaling,contrastive|4,supervised_sharpe,10,0.9279044073119203,0.3591294953447526,0.7119183639669145,1.1298807666110309
feature_scaling,contrastive|8,supervised_sharpe,10,0.4865589936015916,0.46994676428202475,0.22326748682365094,0.7740673260040232
feature_scaling,contrastive|12,supervised_sharpe,10,0.8177286906358476,0.522622305563136,0.505696527373755,1.120488856985737
feature_scaling,contrastive|16,supervised_sharpe,10,0.9686879838395989,0.5539971199105065,0.6444728496462158,1.2917862049108817
feature_scaling,contrastive|24,supervised_sharpe,10,1.0051443147148924,0.4957222135142214,0.7029183075884543,1.2875513000162704
feature_scaling,contrastive|32,supervised_sharpe,10,1.0077359111031696,0.2352241409642016,0.8711347713054999,1.143056445106891
dim_scaling,auto|4,supervised_sharpe,10,0.8033394513540232,0.1371362985445599,0.718442718140628,0.880203538315739
dim_scaling,auto|8,supervised_sharpe,10,0.7717439769525507,0.15830768003880233,0.6926484153927327,0.8750721623665457
dim_scaling,auto|16,supervised_sharpe,10,0.7722324892314756,0.18610582142693363,0.6719562371441021,0.8911688253668558
dim_scaling,auto|32,supervised_sharpe,10,0.861922662528731,0.26381484913999625,0.7082809062665864,1.0157282654655018
dim_scaling,auto|64,supervised_sharpe,10,0.86396820170638,0.18546700114441994,0.7497220244654995,0.969908660028765
dim_scaling,auto|128,supervised_sharpe,10,0.6739869760300128,0.45809047115332574,0.41470217873808174,0.9547094949594056
dim_scaling,predictive|4,supervised_sharpe,10,0.8041463307441106,0.09640347201185896,0.7522029722220757,0.863730097838459
dim_scaling,predictive|8,supervised_sharpe,10,0.9689154433196748,0.19003980629707412,0.861489955251581,1.077927130873571
dim_scaling,predictive|16,supervised_sharpe,10,0.872443511162302,0.20921162603697432,0.7584737916853843,1.0020852607627657
dim_scaling,predictive|32,supervised_sharpe,10,0.7558330013254407,0.23220370153212375,0.60919355601375,0.8746658564279569
dim_scaling,predictive|64,supervised_sharpe,10,0.8353482722830664,0.24310734216106644,0.6941323543147959,0.9812839151808185
dim_scaling,predictive|128,supervised_sharpe,10,0.7514648787087176,0.24074170421405103,0.6081891803586887,0.88649645799232
dim_scaling,contrastive|4,supervised_sharpe,10,0.8327247400562967,0.07450957222164674,0.7891956026113389,0.875963061367747
dim_scaling,contrastive|8,supervised_sharpe,10,0.7216796177736804,0.1852345808336642,0.6046986916610759,0.8219937546786897
dim_scaling,contrastive|16,supervised_sharpe,10,0.8340620134941782,0.26586834976190626,0.6817431084064639,0.9932339687214241
dim_scaling,contrastive|32,supervised_sharpe,10,0.7408545968948971,0.29222970157853473,0.575965241884027,0.9196952827185912
dim_scaling,contrastive|64,supervised_sharpe,10,0.6297117626051019,0.34264512749569254,0.43598323426037694,0.8364911858837419
dim_scaling,contrastive|128,supervised_sharpe,10,0.4865589936015916,0.46994676428202475,0.22326748682365094,0.7740673260040232
