rep,contrast,diff,ci_lo,ci_hi
raw,BC-A2C,0.31941422836662786,0.15971863162167432,0.4721383368668627
raw,IQL-A2C,0.1967736105372077,0.0378711300780445,0.35148469492414264
raw,CQL-A2C,0.21156976636877006,0.06632977380099164,0.3490867154724663
auto,BC-A2C,0.17774243936327516,-0.02582276409972744,0.42129617891649707
auto,IQL-A2C,0.15995120697321819,-0.038974988861193334,0.39784187658025366
auto,CQL-A2C,0.3043936076857656,0.1054333123144604,0.5416586246131658
predictive,BC-A2C,0.013447327630752515,-0.04142433721832831,0.06672603037254057
predictive,IQL-A2C,0.01039034171442521,-0.04684477179995881,0.06651476165112288
predictive,CQL-A2C,0.05826909409142855,-0.036889317959727046,0.14887357776061808
contrastive,BC-A2C,0.1146090441011286,-0.11952900047306247,0.35066655433404187
contrastive,IQL-A2C,0.09431390905297465,-0.14208831182149323,0.3326528845881643
contrastive,CQL-A2C,0.18213559754077646,-0.05208071394263229,0.416097468507887
