representation,dim,axis,metric,value,split
raw window (160d),160,information,direction_1.accuracy,0.5445544554455446,val
raw window (160d),160,information,direction_1.balanced_accuracy,0.5262317591084714,val
raw window (160d),160,information,direction_1.auc,0.5368010984449341,val
raw window (160d),160,information,direction_1.log_loss,0.6995336863890406,val
raw window (160d),160,information,direction_1.accuracy,0.5298804780876494,test
raw window (160d),160,information,direction_1.balanced_accuracy,0.5168582375478927,test
raw window (160d),160,information,direction_1.auc,0.5207335568326947,test
raw window (160d),160,information,direction_1.log_loss,0.7057064858051616,test
raw window (160d),160,information,direction_5.accuracy,0.5762376237623762,val
raw window (160d),160,information,direction_5.balanced_accuracy,0.4963872832369942,val
raw window (160d),160,information,direction_5.auc,0.5150080089142698,val
raw window (160d),160,information,direction_5.log_loss,0.7263556588933042,val
raw window (160d),160,information,direction_5.accuracy,0.556,test
raw window (160d),160,information,direction_5.balanced_accuracy,0.5038251636411601,test
raw window (160d),160,information,direction_5.auc,0.5264216583403407,test
raw window (160d),160,information,direction_5.log_loss,0.6917671764332322,test
raw window (160d),160,information,direction_20.accuracy,0.697029702970297,val
raw window (160d),160,information,direction_20.balanced_accuracy,0.49025168000684843,val
raw window (160d),160,information,direction_20.auc,0.5658947909087018,val
raw window (160d),160,information,direction_20.log_loss,0.6275884149043363,val
raw window (160d),160,information,direction_20.accuracy,0.6558375634517767,test
raw window (160d),160,information,direction_20.balanced_accuracy,0.5019914088872945,test
raw window (160d),160,information,direction_20.auc,0.5043645428037933,test
raw window (160d),160,information,direction_20.log_loss,0.6528381708071018,test
raw window (160d),160,information,magnitude_1.r2,0.3062078448707015,val
raw window (160d),160,information,magnitude_1.mae,0.006185802482750183,val
raw window (160d),160,information,magnitude_1.spearman,0.3873282604812096,val
raw window (160d),160,information,magnitude_1.r2,0.010475413367363129,test
raw window (160d),160,information,magnitude_1.mae,0.005025848189903389,test
raw window (160d),160,information,magnitude_1.spearman,0.32492070771369275,test
raw window (160d),160,information,vol_5.r2,0.5371264318058265,val
raw window (160d),160,information,vol_5.mae,0.06803333743998073,val
raw window (160d),160,information,vol_5.spearman,0.6058673569220278,val
raw window (160d),160,information,vol_5.r2,0.213355870177806,test
raw window (160d),160,information,vol_5.mae,0.0542467889586765,test
raw window (160d),160,information,vol_5.spearman,0.5158028518028518,test
raw window (160d),160,information,vol_20.r2,0.33936049985251726,val
raw window (160d),160,information,vol_20.mae,0.0708169585924108,val
raw window (160d),160,information,vol_20.spearman,0.46993922994783954,val
raw window (160d),160,information,vol_20.r2,0.3796487928587662,test
raw window (160d),160,information,vol_20.mae,0.037970634749763914,test
raw window (160d),160,information,vol_20.spearman,0.5688277961537042,test
raw window (160d),160,information,regime.accuracy,0.805940594059406,val
raw window (160d),160,information,regime.balanced_accuracy,0.7187591221505718,val
raw window (160d),160,information,regime.auc,0.888565575267266,val
raw window (160d),160,information,regime.log_loss,0.5929184860158527,val
raw window (160d),160,information,regime.accuracy,0.8835820895522388,test
raw window (160d),160,information,regime.balanced_accuracy,0.5669448250093412,test
raw window (160d),160,information,regime.auc,0.9214273634463471,test
raw window (160d),160,information,regime.log_loss,0.33909130007753024,test
raw window (160d),160,information,drawdown_20.r2,-0.16333156480729838,val
raw window (160d),160,information,drawdown_20.mae,0.03631008685805639,val
raw window (160d),160,information,drawdown_20.spearman,0.04867386487196569,val
raw window (160d),160,information,drawdown_20.r2,-0.032466918154806734,test
raw window (160d),160,information,drawdown_20.mae,0.023070275399855896,test
raw window (160d),160,information,drawdown_20.spearman,0.08830654697618383,test
raw window (160d),160,information,direction_1.baseline_acc,0.5378486055776892,test
raw window (160d),160,information,direction_5.baseline_acc,0.586,test
raw window (160d),160,information,direction_20.baseline_acc,0.6609137055837564,test
raw window (160d),160,information,regime.baseline_acc,0.7731343283582089,test
raw window (160d),160,preservation,reconstruction_r2_mean,0.9999999999868253,test
raw window (160d),160,preservation,reconstruction_r2.z_ret_1d,0.9999999999876715,test
raw window (160d),160,preservation,reconstruction_r2.z_ret_5d,0.9999999999972923,test
raw window (160d),160,preservation,reconstruction_r2.z_ret_20d,0.9999999999410046,test
raw window (160d),160,preservation,reconstruction_r2.z_realized_vol_20d,0.9999999999939387,test
raw window (160d),160,preservation,reconstruction_r2.z_rsi_14,0.9999999999993237,test
raw window (160d),160,preservation,reconstruction_r2.z_macd_hist,0.9999999999977772,test
raw window (160d),160,preservation,reconstruction_r2.z_volume_zscore_20d,0.9999999999786385,test
raw window (160d),160,preservation,reconstruction_r2.z_bollinger_pos,0.9999999999989558,test
raw window (160d),160,efficiency,effective_rank,6.263236045837402,test
raw window (160d),160,efficiency,spectral_rank,13.700166702270508,test
raw window (160d),160,efficiency,rank_share,0.039145223796367645,test
raw window (160d),160,efficiency,top1,0.3106345236301422,test
raw window (160d),160,efficiency,top5,0.7210473418235779,test
raw window (160d),160,efficiency,k95,35.0,test
raw window (160d),160,efficiency,scale,172.1455535888672,test
raw window (160d),160,efficiency,n,1005.0,test
raw window (160d),160,efficiency,d,160.0,test
raw window (160d),160,redundancy,direction_1.full_metric,0.5168702107279693,test
raw window (160d),160,redundancy,direction_1.k_to_95,1.0,test
raw window (160d),160,redundancy,magnitude_1.full_metric,0.010474035726969033,test
raw window (160d),160,redundancy,magnitude_1.k_to_95,1.0,test
raw window (160d),160,trading,Supervised.sharpe,0.3937015685556217,test
raw window (160d),160,trading,Supervised.total_return,0.2272190862032657,test
raw window (160d),160,trading,Supervised.max_drawdown,-0.24440355540685932,test
raw window (160d),160,trading,Supervised.turnover,0.7201195219123506,test
raw window (160d),160,trading,Supervised.exposure,1.0,test
raw window (160d),160,trading,Supervised.sharpe_cost0,0.3937015685556217,test
raw window (160d),160,trading,Supervised.sharpe_cost1,0.2836331207207855,test
raw window (160d),160,trading,Supervised.sharpe_cost5,-0.15531316349651372,test
raw window (160d),160,trading,RL-A2C.sharpe,-0.22099896660901813,test
raw window (160d),160,trading,RL-A2C.total_return,-0.16911928730335168,test
raw window (160d),160,trading,RL-A2C.max_drawdown,-0.34455669640136466,test
raw window (160d),160,trading,RL-A2C.turnover,0.12741767168045043,test
raw window (160d),160,trading,RL-A2C.exposure,0.8932871528507317,test
raw window (160d),160,trading,RL-A2C.sharpe_cost0,-0.22099896660901813,test
raw window (160d),160,trading,RL-A2C.sharpe_cost1,-0.24163689412552888,test
raw window (160d),160,trading,RL-A2C.sharpe_cost5,-0.32414300879139013,test
raw window (160d),160,temporal,mask_lag:lag1.dh,2.69608736038208,test
raw window (160d),160,temporal,mask_lag:lag1.dh_rel,0.21577516111472553,test
raw window (160d),160,temporal,mask_lag:lag1.da,0.01807890273630619,test
raw window (160d),160,temporal,mask_lag:lag2.dh,2.6784398555755615,test
raw window (160d),160,temporal,mask_lag:lag2.dh_rel,0.21436278358985192,test
raw window (160d),160,temporal,mask_lag:lag2.da,0.018645649775862694,test
raw window (160d),160,temporal,mask_lag:lag3.dh,2.6439340114593506,test
raw window (160d),160,temporal,mask_lag:lag3.dh_rel,0.21160118758855623,test
raw window (160d),160,temporal,mask_lag:lag3.da,0.019464466720819473,test
raw window (160d),160,temporal,mask_lag:lag5.dh,2.64558482170105,test
raw window (160d),160,temporal,mask_lag:lag5.dh_rel,0.21173330639564936,test
raw window (160d),160,temporal,mask_lag:lag5.da,0.02004072070121765,test
raw window (160d),160,temporal,mask_lag:lag10.dh,2.6561100482940674,test
raw window (160d),160,temporal,mask_lag:lag10.dh_rel,0.21257566873792727,test
raw window (160d),160,temporal,mask_lag:lag10.da,0.040643882006406784,test
raw window (160d),160,temporal,mask_lag:lag15.dh,2.638375759124756,test
raw window (160d),160,temporal,mask_lag:lag15.dh_rel,0.21115634562585237,test
raw window (160d),160,temporal,mask_lag:lag15.da,0.032360564917325974,test
raw window (160d),160,feature,zero_feature:f0.dh,3.4965009689331055,test
raw window (160d),160,feature,zero_feature:f0.dh_rel,0.2798344263601368,test
raw window (160d),160,feature,zero_feature:f0.da,0.018423840403556824,test
raw window (160d),160,feature,perm_feature:f0.dh,4.787560939788818,test
raw window (160d),160,feature,perm_feature:f0.dh_rel,0.38316144658721324,test
raw window (160d),160,feature,perm_feature:f0.da,0.02941170334815979,test
raw window (160d),160,feature,zero_feature:f1.dh,3.7019946575164795,test
raw window (160d),160,feature,zero_feature:f1.dh_rel,0.29628064186995356,test
raw window (160d),160,feature,zero_feature:f1.da,0.03749509155750275,test
raw window (160d),160,feature,perm_feature:f1.dh,4.634082794189453,test
raw window (160d),160,feature,perm_feature:f1.dh_rel,0.3708781756216911,test
raw window (160d),160,feature,perm_feature:f1.da,0.04993382468819618,test
raw window (160d),160,feature,zero_feature:f2.dh,3.527071237564087,test
raw window (160d),160,feature,zero_feature:f2.dh_rel,0.28228104761436634,test
raw window (160d),160,feature,zero_feature:f2.da,0.03578054532408714,test
raw window (160d),160,feature,perm_feature:f2.dh,2.912716865539551,test
raw window (160d),160,feature,perm_feature:f2.dh_rel,0.23311260613391518,test
raw window (160d),160,feature,perm_feature:f2.da,0.020516758784651756,test
raw window (160d),160,feature,zero_feature:f3.dh,2.135133981704712,test
raw window (160d),160,feature,zero_feature:f3.dh_rel,0.1708805455171043,test
raw window (160d),160,feature,zero_feature:f3.da,0.10055278241634369,test
raw window (160d),160,feature,perm_feature:f3.dh,0.9639344215393066,test
raw window (160d),160,feature,perm_feature:f3.dh_rel,0.07714627803536662,test
raw window (160d),160,feature,perm_feature:f3.da,0.006959485821425915,test
raw window (160d),160,feature,zero_feature:f4.dh,4.146260738372803,test
raw window (160d),160,feature,zero_feature:f4.dh_rel,0.33183645752460494,test
raw window (160d),160,feature,zero_feature:f4.da,0.08125279098749161,test
raw window (160d),160,feature,perm_feature:f4.dh,3.6106631755828857,test
raw window (160d),160,feature,perm_feature:f4.dh_rel,0.28897113642934535,test
raw window (160d),160,feature,perm_feature:f4.da,0.04631604626774788,test
raw window (160d),160,feature,zero_feature:f5.dh,6.960244178771973,test
raw window (160d),160,feature,zero_feature:f5.dh_rel,0.5570471606897471,test
raw window (160d),160,feature,zero_feature:f5.da,0.1012677252292633,test
raw window (160d),160,feature,perm_feature:f5.dh,7.376923084259033,test
raw window (160d),160,feature,perm_feature:f5.dh_rel,0.5903951001095724,test
raw window (160d),160,feature,perm_feature:f5.da,0.13733215630054474,test
raw window (160d),160,feature,zero_feature:f6.dh,4.372281074523926,test
raw window (160d),160,feature,zero_feature:f6.dh_rel,0.3499254761390839,test
raw window (160d),160,feature,zero_feature:f6.da,0.04515354707837105,test
raw window (160d),160,feature,perm_feature:f6.dh,5.638617515563965,test
raw window (160d),160,feature,perm_feature:f6.dh_rel,0.451273805427694,test
raw window (160d),160,feature,perm_feature:f6.da,0.05369563400745392,test
raw window (160d),160,feature,zero_feature:f7.dh,4.39242696762085,test
raw window (160d),160,feature,zero_feature:f7.dh_rel,0.35153780643396454,test
