model,perturbation,unit,dh,dh_rel,da,da_sgn
DDR,mask_lag,lag1,0.5500463843345642,0.2695403962710254,0.09328202158212662,0.003411215031519532
DDR,mask_lag,lag2,0.32913127541542053,0.1612848969237116,0.035608842968940735,0.0012325186980888247
DDR,mask_lag,lag3,0.219224214553833,0.10742690679537899,0.024645350873470306,-0.00795573741197586
DDR,mask_lag,lag5,0.13417591154575348,0.0657505064992313,0.018312109634280205,-0.005691978149116039
DDR,mask_lag,lag10,0.0491861030459404,0.0241027703910264,0.005581946577876806,0.0012015723623335361
DDR,mask_lag,lag15,0.02448195405304432,0.011996943866706437,0.0028602404054254293,0.0009307467844337225
DDR,zero_feature,ret_1d,0.4339400827884674,0.21264457908251932,0.06820887327194214,-0.04441715031862259
DDR,perm_feature,ret_1d,0.5570535659790039,0.2729741403532999,0.07445789128541946,-0.007858287543058395
DDR,cf_last+1,ret_1d,0.5289279222488403,0.2591916715064638,0.06000111252069473,0.0174137894064188
DDR,cf_last-1,ret_1d,0.551586389541626,0.270295048288733,0.04638989269733429,-0.032009005546569824
DDR,zero_feature,ret_5d,0.454144686460495,0.2225454838704778,0.05788647383451462,0.014237608760595322
DDR,perm_feature,ret_5d,0.5442414879798889,0.26669581059913827,0.06891590356826782,0.017389021813869476
DDR,cf_last+1,ret_5d,0.4149446487426758,0.20333620625095,0.02736150100827217,-0.015036942437291145
DDR,cf_last-1,ret_5d,0.48615941405296326,0.23823372873044965,0.022623252123594284,0.00782446563243866
DDR,zero_feature,ret_20d,0.2780541777610779,0.13625547843424937,0.022737830877304077,-0.006452333182096481
DDR,perm_feature,ret_20d,0.186972513794899,0.09162253747206382,0.01851573772728443,0.0010133797768503428
DDR,cf_last+1,ret_20d,0.19517026841640472,0.09563970055529443,0.025704400613904,0.0234968438744545
DDR,cf_last-1,ret_20d,0.27471449971199036,0.13461892891696148,0.029357032850384712,-0.02560882270336151
DDR,zero_feature,rv20,0.29188835620880127,0.1430346702389452,0.039443206042051315,-0.00981234386563301
DDR,perm_feature,rv20,0.1007726639509201,0.04938184223768387,0.014657668769359589,-0.0008121723658405244
DDR,cf_last+1,rv20,0.2942739725112915,0.14420369885514409,0.04470660537481308,-0.04288711026310921
DDR,cf_last-1,rv20,0.2678737938404083,0.13126676331072737,0.040545132011175156,0.0394502654671669
DDR,zero_feature,rsi,0.38417062163352966,0.18825594448013686,0.06260351836681366,0.01958850957453251
DDR,perm_feature,rsi,0.2866101861000061,0.14044819734642422,0.05181744694709778,0.006095730699598789
DDR,cf_last+1,rsi,0.24715571105480194,0.12111423726373932,0.04691946506500244,-0.03704749420285225
DDR,cf_last-1,rsi,0.3642340898513794,0.1784864035289102,0.08437921851873398,0.07959242165088654
DDR,zero_feature,macd,1.2515202760696411,0.6132851351457133,0.08681326359510422,0.02653050795197487
DDR,perm_feature,macd,1.10665762424469,0.542297782642694,0.08804900199174881,0.028787288814783096
DDR,cf_last+1,macd,0.6393730640411377,0.31331333857445104,0.06428689509630203,0.05968393385410309
DDR,cf_last-1,macd,0.6158334612846375,0.30177817711215815,0.048553887754678726,0.02099720947444439
DDR,zero_feature,volz,0.48373037576675415,0.2370434219474783,0.08801449090242386,-0.014538604766130447
DDR,perm_feature,volz,0.5669457912445068,0.27782164847989477,0.11226895451545715,-0.015931973233819008
DDR,cf_last+1,volz,0.48313844203948975,0.2367533554077154,0.12920933961868286,0.0898536965250969
DDR,cf_last-1,volz,0.37159115076065063,0.18209159968936506,0.08777149021625519,-0.052873242646455765
DDR,zero_feature,boll,0.4474540054798126,0.21926683527970872,0.07967311888933182,-0.0033953713718801737
DDR,perm_feature,boll,0.4216104745864868,0.20660267502628446,0.08945629000663757,0.017103299498558044
DDR,cf_last+1,boll,0.33364784717559814,0.16349816216223795,0.107421875,0.10100569576025009
DDR,cf_last-1,boll,0.40551263093948364,0.19871421456313368,0.11844734102487564,-0.09915388375520706
TACR,mask_lag,lag1,0.017849773168563843,0.008516952309879136,0.0005305571248754859,-4.1858453187160194e-05
TACR,mask_lag,lag2,0.018107786774635315,0.00864006253416371,0.0005262845661491156,-8.244882337749004e-05
TACR,mask_lag,lag3,0.018884489312767982,0.009010663236691866,0.0005233773263171315,-5.611196320387535e-05
TACR,mask_lag,lag5,0.01971489004790783,0.009406885832491031,0.0005473920609802008,-8.305311348522082e-05
TACR,mask_lag,lag10,0.02176525443792343,0.010385209509925322,0.0005290848785080016,-8.101508137769997e-05
TACR,mask_lag,lag15,0.0240526981651783,0.011476654703798862,0.0005642325850203633,-0.00016474287258461118
TACR,zero_feature,ret_1d,0.560748815536499,0.26755919387012755,0.009078948758542538,-0.0017732038395479321
TACR,perm_feature,ret_1d,0.8226007223129272,0.3925008489379601,0.012987193651497364,0.0015890233917161822
TACR,cf_last+1,ret_1d,1.0548487901687622,0.5033171433138102,0.015108655206859112,-0.0018026364268735051
TACR,cf_last-1,ret_1d,1.1636266708374023,0.5552201010307273,0.018115209415555,-0.0011965131852775812
TACR,zero_feature,ret_5d,0.4872887134552002,0.23250798172323314,0.014274626038968563,-0.0053945197723805904
TACR,perm_feature,ret_5d,0.6766185164451599,0.3228459870119602,0.020588016137480736,-0.0005861579556949437
TACR,cf_last+1,ret_5d,0.7850721478462219,0.374594230407166,0.021489178761839867,0.019255254417657852
TACR,cf_last-1,ret_5d,0.8812615871429443,0.4204906605448333,0.030460510402917862,-0.02812015265226364
TACR,zero_feature,ret_20d,0.44813328981399536,0.21382511821141142,0.01276402361690998,-0.01100719254463911
TACR,perm_feature,ret_20d,0.35152488946914673,0.16772878238122405,0.009748253971338272,-0.005275700241327286
TACR,cf_last+1,ret_20d,0.6320412755012512,0.3015761237123019,0.01674566976726055,-0.0023479079827666283
TACR,cf_last-1,ret_20d,0.7723171710968018,0.36850824109724306,0.01789633184671402,-0.012556171044707298
TACR,zero_feature,rv20,0.3123144209384918,0.1490196544068839,0.009274491108953953,-0.002154430840164423
TACR,perm_feature,rv20,0.11549629271030426,0.05510862282070374,0.0023222784511744976,0.00030994266853667796
