model,feature,lag,ik,da,dh,dh_rel
DDR,ret_1d,1,0.004228916950523853,0.03526468947529793,0.28819382190704346,0.14122422975957102
DDR,ret_1d,2,0.002386730629950762,0.029549166560173035,0.15651875734329224,0.07669921861080471
DDR,ret_1d,3,0.000877232349012047,0.01287884172052145,0.08563780784606934,0.04196527660214811
DDR,ret_1d,4,0.00010955686593661085,0.0067898426204919815,0.05576946213841438,0.0273288278093051
DDR,ret_1d,5,0.00017223072063643485,0.00751478923484683,0.04768572375178337,0.023367536343459346
DDR,ret_1d,6,0.00026915306807495654,0.006245507393032312,0.03652671352028847,0.01789926289334232
DDR,ret_1d,7,6.641579238930717e-05,0.00412861118093133,0.026156311854720116,0.01281743297129197
DDR,ret_1d,8,3.7830199289601296e-05,0.003297902178019285,0.02180110663175583,0.01068324251922746
DDR,ret_1d,9,5.4071508202468976e-05,0.003082831623032689,0.020320827141404152,0.009957858021147431
DDR,ret_1d,10,4.1170533222611994e-05,0.0025544194504618645,0.015703603625297546,0.0076952701891978064
DDR,ret_1d,11,2.7440059056971222e-05,0.0019341526785865426,0.011456388980150223,0.005613998589010734
DDR,ret_1d,12,1.872048778750468e-05,0.0018124564085155725,0.01228228397667408,0.006018713665741234
DDR,ret_1d,13,2.7659178158501163e-05,0.0015535930870100856,0.01004890725016594,0.0049242873318353034
DDR,ret_1d,14,1.45758967846632e-05,0.0012839690316468477,0.008333014324307442,0.004083444682257531
DDR,ret_1d,15,6.455757556977915e-06,0.0010428985115140676,0.00752056110650301,0.003685316508860655
DDR,ret_1d,16,9.356697773910128e-06,0.0010751932859420776,0.007405982818454504,0.0036291694673670325
DDR,ret_1d,17,3.119135499218828e-06,0.0006731431931257248,0.005219040438532829,0.002557497454798281
DDR,ret_1d,18,3.341801857459359e-06,0.0006424178718589246,0.004744238685816526,0.0023248293449403177
DDR,ret_1d,19,4.341754447523272e-06,0.0007360015297308564,0.005457490216940641,0.0026743455054232014
DDR,ret_1d,20,7.669876140425913e-06,0.0008410050650127232,0.005705239716917276,0.002795750718331633
DDR,ret_5d,1,0.0010219925316050649,0.016615482047200203,0.2608795166015625,0.12783934280169404
DDR,ret_5d,2,0.0019088629633188248,0.03382885456085205,0.134553000330925,0.06593529211637057
DDR,ret_5d,3,0.0005904550198465586,0.015234416350722313,0.08051099628210068,0.03945297425835439
DDR,ret_5d,4,9.447066258871928e-05,0.005785598885267973,0.049589596688747406,0.024300495236553046
DDR,ret_5d,5,3.896239650202915e-05,0.00353731750510633,0.03728201240301132,0.01826938360670447
DDR,ret_5d,6,3.497900615911931e-05,0.0030559266451746225,0.027626648545265198,0.013537945178095773
DDR,ret_5d,7,1.8893269952968694e-05,0.002286003902554512,0.020055441185832024,0.009827810378499594
DDR,ret_5d,8,1.9275325030321255e-05,0.0019514997256919742,0.016463687643408775,0.008067735772602787
DDR,ret_5d,9,1.8284945326740853e-05,0.0017905485583469272,0.014798429794609547,0.007251705937224823
DDR,ret_5d,10,1.14566091724555e-05,0.001498886151239276,0.011246899142861366,0.005511341839751483
DDR,ret_5d,11,9.632375622459222e-06,0.0012001049472019076,0.009652928449213505,0.0047302450002003685
DDR,ret_5d,12,8.228457772929687e-06,0.001125786453485489,0.008907741867005825,0.004365079638906151
DDR,ret_5d,13,8.610629265604075e-06,0.0010730302892625332,0.008033686317503452,0.0039367643442591825
DDR,ret_5d,14,3.7856252674828283e-06,0.000817583582829684,0.006309006828814745,0.0030916159966629057
DDR,ret_5d,15,4.288934633223107e-06,0.0007649168255738914,0.006137065123766661,0.0030073590382788526
DDR,ret_5d,16,4.3620339056360535e-06,0.0007085174438543618,0.005542959552258253,0.0027162282250749277
DDR,ret_5d,17,1.9214298845326994e-06,0.0005370190483517945,0.004138462711125612,0.0020279796593139134
DDR,ret_5d,18,1.09005657122907e-06,0.0003778950194828212,0.0033785183914005756,0.0016555825326053952
DDR,ret_5d,19,2.4629171093693003e-06,0.0004903240478597581,0.004117447882890701,0.002017681718465056
DDR,ret_5d,20,3.816376192844473e-06,0.000647515757009387,0.004932541400194168,0.002417103723425074
DDR,ret_20d,1,0.0004884530790150166,0.0161285400390625,0.14191561937332153,0.06954321194058867
DDR,ret_20d,2,0.00010198045492870733,0.006543290335685015,0.06809765100479126,0.033370036345503916
DDR,ret_20d,3,3.1998137274058536e-05,0.003571507055312395,0.043934453278779984,0.021529293317761863
DDR,ret_20d,4,2.956284151878208e-05,0.003107045777142048,0.030552024021744728,0.014971473127062755
DDR,ret_20d,5,1.564002741361037e-05,0.002354800933972001,0.02152496576309204,0.01054792462370796
DDR,ret_20d,6,6.485459380201064e-06,0.001599671202711761,0.016337700188159943,0.00800599787270907
DDR,ret_20d,7,3.332380401843693e-06,0.0011610242072492838,0.012656751088798046,0.006202214578876894
DDR,ret_20d,8,3.186759840900777e-06,0.0009083023760467768,0.009906559251248837,0.004854532240029872
DDR,ret_20d,9,1.990774080695701e-06,0.0007341234595514834,0.008221342228353024,0.0040287217682393175
DDR,ret_20d,10,1.1568115496629616e-06,0.0005894104833714664,0.006489084102213383,0.0031798596448599486
DDR,ret_20d,11,1.2707315590887447e-06,0.0005415277555584908,0.005664023105055094,0.002775553254607329
DDR,ret_20d,12,7.236324677251105e-07,0.00043841986916959286,0.004630515351891518,0.0022691012584290455
DDR,ret_20d,13,4.913592874800088e-07,0.0003550606779754162,0.003921696916222572,0.001921757457113906
