model,block,ik,da,dh,dh_rel
DDR,last5d,0.03546474874019623,0.1473267376422882,1.9107537269592285,0.9363307012080391
DDR,prior5d,0.003077722154557705,0.041834328323602676,0.38557305932044983,0.18894318399419202
DDR,oldest10d,0.0008145672036334872,0.018595587462186813,0.17304664850234985,0.08479841616834573
DDR,all20d,0.03614930436015129,0.15088319778442383,2.144939422607422,1.051089214314864
TACR,last5d,0.0022934016305953264,0.03904872387647629,1.8833370208740234,0.8986271947961383
TACR,prior5d,9.969451639335603e-06,0.0024668651167303324,0.09011127799749374,0.0429962582739456
TACR,oldest10d,5.0238410040037706e-05,0.005186347756534815,0.21925519406795502,0.10461679338641779
TACR,all20d,0.002278427127748728,0.03866751864552498,1.9074900150299072,0.9101517053556751
D,last5d,0.07866107672452927,0.24480751156806946,0.9770516157150269,0.9880429737839184
D,prior5d,0.0007898705080151558,0.021609777584671974,0.1206452026963234,0.12200240286958021
D,oldest10d,0.003687363350763917,0.04676930233836174,0.2988152503967285,0.3021767774242974
D,all20d,0.08436267822980881,0.2463664710521698,1.1018904447555542,1.1142861792655832
