head,acc,short_frac,margin_1bp_perseed,margin_1bp_seedmean,sharpe_1bp_seedmean,sharpe_0bp_seedmean,P_up_mean,P_up_std
single logistic (frozen canonical),0.5313432835820896,0.07562189054726368,-0.05808099963106474,-0.05202372606292671,0.7935716212942346,0.8304705754729695,0.5426174247967233,0.02845787751349631
10-member bootstrap ensemble (mean P),0.5393034825870647,0.09950248756218906,0.1751045908739083,0.22793011102715233,1.0735254583843137,1.1211410998204387,0.5392491230528372,0.03020181911226195
10-member IDENTICAL-data ensemble (mean P),0.5313432835820896,0.07562189054726368,-0.05808099963106474,-0.05202372606292671,0.7935716212942346,0.8304705754729695,0.5426174247967234,0.02845787751349631
bootstrap member 00,0.5124378109452736,0.18606965174129353,-0.7024957486873127,-0.7251470102093591,0.12044833714780225,0.16549267299973922,0.5348535907447745,0.042866994556726476
bootstrap member 01,0.5383084577114428,0.07462686567164178,-0.21983110673402892,-0.2436295230122234,0.601965824344938,0.632203264179519,0.5438448729688581,0.02948759403589803
bootstrap member 02,0.5184079601990049,0.23184079601990049,-0.11843320297245659,-0.07859706818493539,0.766998279172226,0.8328480484193588,0.5394812877407011,0.05494711091391795
bootstrap member 03,0.527363184079602,0.2766169154228856,-0.1835916172963315,-0.1245316530518007,0.7210636943053607,0.8286092302132384,0.5261393166366478,0.05207910766145539
bootstrap member 04,0.5333333333333333,0.21293532338308457,-0.27328764192510124,-0.2584748550060608,0.5871204923511005,0.6504435179604832,0.5363984035892186,0.049152827388515334
bootstrap member 05,0.5164179104477612,0.16218905472636816,-0.3879337498859831,-0.39939414594886763,0.4462012014082937,0.5217827228567169,0.5449858154932059,0.046219288187235044
bootstrap member 06,0.5462686567164179,0.12039800995024875,0.3651924247284238,0.4383898773984991,1.2839852247556605,1.355063292828585,0.5469397993123808,0.04144419514692193
bootstrap member 07,0.5522388059701493,0.09253731343283582,0.5497483630814625,0.5837406867727086,1.42933603412987,1.4721037605219198,0.5410757896277826,0.03412734957032194
bootstrap member 08,0.5213930348258706,0.15323383084577114,-0.039053317552007916,0.009345024651929656,0.854940372009091,0.9211237236658555,0.5325493048665836,0.0352285588370414
bootstrap member 09,0.545273631840796,0.11343283582089553,0.06733745976772468,0.10637462210435711,0.9519699694615185,1.0074503523323777,0.5462230495482193,0.04042269576527816
